Company,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,SEO Description,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,Short Description,Founded Year,Logo Url
ECI,ECI,Cold,,1500,information technology & services,vasily.souzdenkov@gmail.com,http://www.eci.com,http://www.linkedin.com/company/eci-1995,https://facebook.com/alphaserveit/,https://twitter.com/alphaserveit?lang=en,100 High Street,Boston,Massachusetts,United States,02110,"100 High Street, Boston, Massachusetts, United States, 02110","enterprise software, software, mobile application, machine learning, information technology, deep information technology, outsourced it services, private cloud services, hosted it, worldwide information technology support & services, disaster recovery services, managed cloud solutions, cybersecurity, digital services",'+1 212-763-5555,"Explore ECI's robust solutions for IT infrastructure, app development, and cloud management, ensuring efficiency and scalability","Outlook, Cloudflare DNS, ServiceNow, Microsoft Office 365, Gmail, Google Apps, CloudFlare Hosting, Pardot, Atlassian Cloud, OneTrust, The Trade Desk, Amazon SES, Wistia, DoubleClick Conversion, Google Analytics, Cedexis Radar, Nginx, Bing Ads, Vimeo, Bootstrap Framework, UltiPro, Adobe Media Optimizer, Google Dynamic Remarketing, ASP.NET, Varnish, Mobile Friendly, DoubleClick, Linkedin Marketing Solutions, Google Tag Manager, Remote, AI",,Other,,2018-06-01,45000000.0,,6730c5629f9387000152c549,7371,"Founded in 1995, ECI is the market leader in end-to-end technology solutions for the financial industry. We enable 1000+ forward-thinking organizations around the world to reach new performance levels through innovative technology solutions that drive business transformation. ECI uniquely understands the high touch needs of organizations in the financial space and our experience servicing these global leaders gives ECI the edge as your trusted technology partner. With offices across the United States, Europe, and Asia, we provide localized, personalized service on a global scale. 

ECI employs more than 900 professionals around the world, and we have a proven track record of employing the best employees which is important when building out teams to support clients.",1995.0,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/67307330eb72530001307307/picture
Huntress,Huntress,Cold,,520,computer & network security,vasily.souzdenkov@gmail.com,http://www.huntress.com,http://www.linkedin.com/company/huntress-labs,https://facebook.com/huntresslabs,https://twitter.com/huntresslabs,6021 University Blvd,Ellicott City,Maryland,United States,21043,"6021 University Blvd, Ellicott City, Maryland, United States, 21043","saas, cyber security, enterprise software, security, internet, software, information technology, cyber breach detection, incident response, endpoint protection, malware analysis, managed services",'+1 833-486-8669,"Huntress Managed Security Awareness Training helps employees become their own line of defense with episodes, phishing simulations and actionable reporting.","Cloudflare DNS, Amazon SES, Gmail, Google Apps, Greenhouse.io, Zendesk, Amazon AWS, Salesforce, Microsoft Office 365, CloudFlare Hosting, React, StatusPage IO, Webflow, Marketo, Datadog, Hubspot, DoubleClick, Bing Ads, Twitter Advertising, Linkedin Login, ClickTale, Stripe, OVH, Google Maps, Cedexis Radar, Bootstrap Framework, Adobe Media Optimizer, Google Font API, Google translate API, Linkedin Marketing Solutions, WordPress.org, Linkedin Widget, Shopify, YouTube, Visual Website Optimizer, Ruby On Rails, Wistia, Google Places, Mobile Friendly, Google Analytics, Google AdWords Conversion, Facebook Login (Connect), New Relic, Google Dynamic Remarketing, Hotjar, Google Tag Manager, Multilingual, Vimeo, Intercom, AddThis, Zift Solutions, DoubleClick Conversion, Google translate widget, reCAPTCHA, Facebook Widget, Facebook Custom Audiences, Remote, AI, Render, Android, Basis, Python",338000000.0,Series D,180000000.0,2024-06-01,100000000.0,,6730c5629f9387000152c540,,"Protect Your Endpoints, Identities, and Employees.
The fully managed security platform that combines endpoint detection and response, Microsoft 365 identity protection, and science-based security awareness training. Powered by custom-built technology for SMBs and the expert analysts in our 24/7 Security Operations Center. 

By delivering a suite of purpose-built solutions that meet budget, security, and peace-of-mind requirements, Huntress is how SMBs defend against today's cyber threats. 

As long as hackers keep hacking, we keep hunting.",2015.0,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/672febd1bd84b30001a184ac/picture
SymphonyAI Retail CPG,SymphonyAI Retail CPG,Cold,,830,information technology & services,vasily.souzdenkov@gmail.com,,http://www.linkedin.com/company/symphonyretailcpg,,,,Frisco,Texas,United States,75033,"Frisco, Texas, United States, 75033",,'+1 512-794-8876,Drive retail and CPG growth with powerful AI solutions. Find out how SymphonyAI can help transform your business and elevate your success.,"Cloudflare DNS, Rackspace MailGun, Outlook, Microsoft Office 365, WP Engine, React Redux, iCIMS, Google Analytics, Woopra, reCAPTCHA, New Relic, Google Maps, TubeMogul, Wistia, Linkedin Marketing Solutions, DoubleClick Conversion, Cedexis Radar, Shutterstock, Hotjar, Adobe TestAndTarget, Google Dynamic Remarketing, WordPress.org, Gravity Forms, Typekit, Cornerstone On Demand, Disqus, Google Font API, Vimeo, Mobile Friendly, LiveRamp, Google Tag Manager, Bootstrap Framework, YouTube, Adobe Media Optimizer, Hubspot, Bing Ads, Google AdWords Conversion, DoubleClick, Google Maps (Non Paid Users), Facebook Login (Connect), Multilingual, AI",,,,,,,6730c5629f9387000152c542,,"SymphonyAI Retail CPG, a SymphonyAI division, is a leading provider of end-to-end, integrated AI-powered merchandising, marketing, and supply chain solutions for retailers and CPG manufacturers worldwide. Harnessing the power of AI, SymphonyAI Retail CPG solutions enhance agility, performance, and revenue growth across the retail value chain from source to consumer. Trusted by leading retailers and manufacturers, SymphonyAI Retail CPG serves 15 of the top 25 global grocery retailers, the top 25 global CPG manufacturers, thousands of retail brands, and hundreds of national and regional chains. SymphonyAI Retail CPG is transforming retail and building a culture of contributing to positive change: SymphonyAI Retail CPG achieved 2022 Great Place to Work certification in all nine countries for which it was eligible.",2012.0,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/661296a7b4855c000786311f/picture
NewVision Software,NewVision,Cold,,520,information technology & services,vasily.souzdenkov@gmail.com,http://www.newvision-software.com,http://www.linkedin.com/company/newvisionhq,https://facebook.com/newvisionsoftwarepune,,5425 Peachtree Parkway,Peachtree Corners,Georgia,United States,30092,"5425 Peachtree Parkway, Peachtree Corners, Georgia, United States, 30092","it solution, services, offshore software development, outsourced product development, web application development, business intelligence, big data, analytics, internet of things, angularjs, node js, react js, quality assurance & testing services, cloud services azure, amazon web services, bpm, oracle utilities, digital transformation, quality assurance, pega, devops, mobile application development, software development, app modernization, product engineering, software product engineering, artificial intelligence, machine learning, tosca",'+91 99705 34989,,"Outlook, Hubspot, Vimeo, Adobe Media Optimizer, YouTube, Google Analytics, Google Font API, Google Tag Manager, Cedexis Radar, Mobile Friendly, reCAPTCHA, WordPress.org, Linkedin Marketing Solutions",,,,,,,6730c5574f16d00001385550,,"NewVision Software is a leading IT consulting company. With expertise in digital technology, we empower businesses to transform and excel. Headquartered in India, we serve clients globally, delivering innovative solutions across industries. Our goal is to navigate new frontiers of technology and drive digital transformation. Our teams guide businesses on their digital transformation journey by leveraging expertise in Product Engineering, Cloud and Infrastructure, Data Engineering, Digital Assurance, automation, and utilizing a partner ecosystem. This enables us to deliver effective solutions and support organizations in their technological advancements.

At Newvision, we thrive on challenges and excel at finding innovative solutions by leveraging our digital competencies. Experts collaborate with leaders across the enterprise hierarchy to help realize growth, outline a scalability roadmap, and deliver optimal performance. All the while, our purpose remains constant - to deliver value against their digital investments.

We partner with every leadership function, driving optimum value from their digital investments:

● Addressing new product and growth opportunities for CEOs, CMOs, and CPOs, unlocking potential success in the digital landscape.

● We re-engineer and modernize digital infrastructure for CEOs and CDOs, ensuring scalability and future-proofing their organizations.

● Optimizing processes for better cost control, we deliver efficiency and savings by addressing the needs of COOs and CIOs.

With a strong emphasis on innovation, collaboration, and tangible results, we are poised to assist businesses in seizing the opportunities presented by the digital age and effectively navigating the intricate landscape of modern technology.",2016.0,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6725654c885967000103f6ac/picture
Veracode,Veracode,Cold,,650,computer & network security,vasily.souzdenkov@gmail.com,http://www.veracode.com,http://www.linkedin.com/company/veracode,http://www.facebook.com/VeracodeInc,http://twitter.com/veracode,Blue Sky Dr,Burlington,Massachusetts,United States,01803-2756,"Blue Sky Dr, Burlington, Massachusetts, United States, 01803-2756","enterprise software, cloud computing, application platforms, enterprise security, security, software, information technology, internet, application security, web application security, binary static analysis, vendor application security testing, runtime application self protection, software composition analysis, dynamic analysis, application security programs, devsecops",'+1 339-674-2500,Build and scale secure software from code to cloud with speed and trust.,"Cloudflare DNS, Mimecast, CloudFlare Hosting, Rackspace MailGun, Gmail, Google Apps, Route 53, Amazon AWS, DemandBase, Vidyard, Drupal, StatusPage IO, Amazon SES, CloudFlare, Atlassian Cloud, Drift, OneTrust, React Redux, GitHub Hosting, Salesforce Live Agent, Marketo, Greenhouse.io, Salesforce Service Cloud, Salesforce, Grafana, Google Tag Manager, Google Dynamic Remarketing, Open AdStream (Appnexus), Google Analytics, YouTube, Facebook Login (Connect), Segment.io, HeapAnalytics, Shutterstock, Multilingual, Mobile Friendly, F5 BIG-IP, The Trade Desk, Bootstrap Framework, Facebook Custom Audiences, CrazyEgg, Nginx, AngularJS, New Relic, Cedexis Radar, Stripe, Twitter Advertising, Vimeo, Varnish, Facebook Widget, Adobe Media Optimizer, Google Font API, DoubleClick Conversion, Linkedin Marketing Solutions, DoubleClick, Wistia, FullStory, WordPress.org, AI, IoT, , Remote, Circle, React Native",87260311.0,Other,,2022-03-01,250000000.0,,6730c5629f9387000152c546,7372,"Veracode is a global leader in Application Risk Management for the AI era. Powered by trillions of lines of code scans and a proprietary AI-assisted remediation engine, the Veracode platform is trusted by organizations worldwide to build and maintain secure software from code creation to cloud deployment. Thousands of the world's leading development and security teams use Veracode every second of every day to get accurate, actionable visibility of exploitable risk, achieve real-time vulnerability remediation, and reduce their security debt at scale. Veracode is a multi-award-winning company offering capabilities to secure the entire software development life cycle, including Veracode Fix, Static Analysis, Dynamic Analysis, Software Composition Analysis, Container Security, Application Security Posture Management, and Penetration Testing. 
 
Copyright © 2024 Veracode, Inc. All rights reserved. Veracode is a registered trademark of Veracode, Inc. in the United States and may be registered in certain other jurisdictions. All other product names, brands or logos belong to their respective holders. All other trademarks cited herein are property of their respective owners.",2006.0,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/672f204464c9ef0001944e56/picture
Workato,Workato,Cold,,1100,information technology & services,vasily.souzdenkov@gmail.com,http://www.workato.com,http://www.linkedin.com/company/workato,https://facebook.com/workato,https://twitter.com/workato,215 Castro Street,Mountain View,California,United States,94041,"215 Castro Street, Mountain View, California, United States, 94041","integration, workflow automation, business process automation, app integration, cloud app integration, ground app integration, enterprise integration, citizen development, no code integration, automation, intelligent automation, artificial intelligence, enterprise web, information technology, generative ai",'+1 844-469-6752,"A single platform to orchestrate data integration, app connectivity, and process automation across your organization.","Route 53, Mailchimp Mandrill, Gmail, Marketo, Google Apps, Microsoft Office 365, Greenhouse.io, Amazon AWS, Amazon CloudFront, Amazon Elastic Load Balancer, Mixpanel, StatusPage IO, Freshdesk, VueJS, WP Engine, Atlassian Cloud, GitHub Hosting, Salesforce, Active Campaign, Google translate API, Pardot, Google Maps, Bizible, Bing Ads, Cedexis Radar, Linkedin Marketing Solutions, Intercom, Adobe Media Optimizer, Google Dynamic Remarketing, Wistia, WordPress.org, LiveRamp, DoubleClick, Quantcast, Segment.io, Facebook Custom Audiences, Typekit, Mobile Friendly, Eventbrite, Webex, AddThis, NetSuite, Google AdWords Conversion, YouTube, Ruby On Rails, Vimeo, Hubspot, Bootstrap Framework, New Relic, FullStory, Eloqua, JW Player, Disqus, Multilingual, UltiPro, Facebook Login (Connect), Google Maps (Non Paid Users), Google Tag Manager, Stripe, Google Analytics, Google Font API, Django, Podio, Qualtrics, DoubleClick Conversion, Nginx, Facebook Widget, reCAPTCHA, Remote, AI",415000000.0,Series E,200000000.0,2021-11-01,150000000.0,,6730c5629f9387000152c53c,"7372, 7372","Workato empowers enterprises to transform their business operations by orchestrating business processes end-to-end and operationalizing AI across the entire organization. Designed with best-in-class security and governance, scalability, performance, and availability, Workato makes it easy for IT and business teams to orchestrate their applications, data, and experiences.

With our democratized approach to enterprise orchestration, business technologists are empowered to fuel their organization's digital transformation. Workato is trusted by over 20,000 of the world's top brands, including Broadcom, Intuit, and Box.",2013.0,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/672f0400a1172500018ae05a/picture
Planview,Planview,Cold,,1700,information technology & services,vasily.souzdenkov@gmail.com,http://www.planview.com,http://www.linkedin.com/company/planview,https://facebook.com/PlanviewCo/,https://twitter.com/planview,12301 Research Blvd,Austin,Texas,United States,78759,"12301 Research Blvd, Austin, Texas, United States, 78759","enterprise software, software, career planning, information technology, portfolio management, project management, resource management, business process management, product portfolio management, strategic alignment, financial management, investment analysis, project collaboration, project portfolio management, workflow management, idea management, enterprise agile planning, lean portfolio management, agile program management, work management for teams, strategic portfolio management, enterprise architecture, enterprise kanban, innovation management, agile delivery teams, value stream management, digital transformation",'+1 800-856-8600,"In 2015, Planview acquired Troux Technologies to advance the company’s work and resource management offering and enable COOs, CIOs, Enterprise Architects and other IT leaders to effectively manage the strategy and business of IT. Learn more about Troux Enterprise Architecture Software.","NetSuite, Salesforce, Route 53, Amazon SES, Rackspace MailGun, Sendgrid, Outlook, Marketo, Microsoft Office 365, iCIMS, Media Temple SSL, WP Engine, Atlassian Cloud, Zapier, Vercel, Drift, OneTrust, The Trade Desk, Linkedin Marketing Solutions, Facebook Widget, Shareaholic Content Amplification, Spigit (Mindjet), Bootstrap Framework, Google Font API, Segment.io, WordPress.org, FullStory, YouTube, Vimeo, Google translate widget, LiveRamp, Google translate API, Facebook Login (Connect), Hotjar, Multilingual, Baidu Ads, Google Tag Manager, Bing Ads, New Relic, Nginx, AddThis, Vidyard, Facebook Custom Audiences, Adobe Media Optimizer, Google Analytics, Pingdom, Mobile Friendly, F5 BIG-IP, Cedexis Radar, AI",38200000.0,Venture (Round not Specified),13000000.0,2015-10-27,330000000.0,,6730c5574f16d0000138555b,"7371, 7373","Planview is a Texas-based SaaS platform that offers solutions such as portfolio management, investment analysis, and work management for businesses.",1989.0,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/672ea7c0d2dcf10001b2f73b/picture
Eptura,Eptura,Cold,,750,information technology & services,vasily.souzdenkov@gmail.com,http://www.eptura.com,http://www.linkedin.com/company/eptura,https://www.facebook.com/EpturaWork/,https://twitter.com/epturawork,950 East Paces Ferry Road Northeast,Atlanta,Georgia,United States,30326,"950 East Paces Ferry Road Northeast, Atlanta, Georgia, United States, 30326","integrated workplace management solutions, space management software, facilities management software, computerized maintenance management system, enterprise asset management software, workplace employee experience mobile apps",'+1 617-227-2508,,"Salesforce, Outlook, Microsoft Office 365, Cloudflare DNS, Mailchimp Mandrill, Sendgrid, Gmail, Google Apps, Zendesk, CloudFlare Hosting, Influitive, MailChimp SPF, NetSuite, Amazon SES, Google Cloud Hosting, Marketo, Adobe Marketing Cloud, Salesforce Service Cloud, Salesforce Live Agent, Hubspot, Sage Intacct, Atlassian Cloud, React Redux, Segment.io, DemandBase, StatusPage IO, Mapbox, React, Bizible, Nginx, DoubleClick, Cloudinary, Linkedin Marketing Solutions, Intercom, DoubleClick Conversion, Vimeo, Google Tag Manager, CrazyEgg, Adobe Media Optimizer, Typekit, Facebook Widget, Bing Ads, Linkedin Widget, Google Dynamic Remarketing, Facebook Custom Audiences, Linkedin Login, Facebook Login (Connect), Wistia, F5 BIG-IP, Cedexis Radar, WordPress.org, Google Analytics, Bootstrap Framework, Optimizely, Stripe, Mobile Friendly, YouTube, AddThis, New Relic, Google Maps, Google Font API, AI",24000000.0,Series A,2500000.0,2018-07-01,8600000.0,,6730c5629f9387000152c547,,"Eptura is a global worktech company that digitally connects people, workplaces, and assets in a unified platform to enable our customers to thrive. With 25 million users across 115 countries, we are trusted by the world's leading companies, including 45% of Fortune 500 brands, to realize a better future at work.",2002.0,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/672e8170acbf29000116edaf/picture
"FourKites, Inc.",FourKites,Cold,,610,information technology & services,vasily.souzdenkov@gmail.com,http://www.fourkites.com,http://www.linkedin.com/company/fourkites-inc,https://www.facebook.com/FourKites,https://twitter.com/havenmx,300 S Riverside Plz,Chicago,Illinois,United States,60606-6612,"300 S Riverside Plz, Chicago, Illinois, United States, 60606-6612","enterprise software, saas, logistics, supply chain management, software, information technology, logistics & supply chain, cloud computing, connected devices, trucking, transportation & logistics, supply chain visibility, ltl freight, shipping, digital transformation, freight & logistics visibility, logistics data integration, disruption management",'+1 888-466-6958,"Transform your ocean shipping with real-time ocean freight visibility, multimodal cargo tracking and more – all in one platform.","Gmail, Google Apps, Microsoft Office 365, Route 53, Amazon SES, Rackspace MailGun, Google Cloud Hosting, Marketo, Sage Intacct, SalesLoft, WP Engine, Atlassian Cloud, OneTrust, React Redux, StatusPage IO, Salesforce, Segment.io, Linkedin Marketing Solutions, Greenhouse.io, DoubleClick, Google Analytics, Google Tag Manager, The Trade Desk, Wistia, Vimeo, WordPress.org, Google Dynamic Remarketing, New Relic, CrazyEgg, Google AdWords Conversion, Facebook Widget, Mobile Friendly, Facebook Login (Connect), Disqus, Google Font API, UberFlip, SOASTA, DoubleClick Conversion, Google Play, Facebook Custom Audiences, Bootstrap Framework, Typekit, YouTube, Cvent, Hotjar, SAP, Reviews, Remote, AI",258628446.0,Other,10000000.0,2022-09-01,48500000.0,,6730c5574f16d00001385552,"7373, 7372","FourKites is the world's leading supply chain intelligence platform, delivering real-time visibility and execution for 1500+ companies and third-party logistics firms across 230 countries. Using a patented artificial intelligence to calculate shipment arrival times, FourKites enables customers to lower operating costs, improve on-time performance, and strengthen end-customer relationships. 

Tracking over 3.2 million shipments each day, FourKites covers all modes, nodes and signals to extend visibility beyond transportation into yards, warehouses, stores and more. The platform provides a single view of your entire supply chain and is optimized for mobile, equipped with market-leading end-to-end security. 

To learn more, visit www.fourkites.com.",2014.0,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/671cd1ced314bf0001811100/picture
Aujas Cybersecurity,Aujas Cybersecurity,Cold,,1100,computer & network security,vasily.souzdenkov@gmail.com,http://www.aujas.com,http://www.linkedin.com/company/aujas-cybersecurity,http://www.facebook.com/pages/Aujas-Networks/221243091854,http://www.twitter.com/AujasIRM,10080 N Wolfe Rd,Cupertino,California,United States,95014-2515,"10080 N Wolfe Rd, Cupertino, California, United States, 95014-2515","security, internet, information technology, risk advisory, threat management, identity, access management, digital security, information security, endpoint security, managed security, security analytics, managed detection, response, cloud security, robotics driven iam, cybersecurity, microsoft defender atp, soar, siem, penetration testing, red teaming, code signing, threat intelligence, third party risk management, ueba, grc technology automation",'+1 201-389-9011,"Aujas cybersecurity offers cloud security, managed detection & response, security testing, security engineering, IAM & risk advisory services.","Outlook, Amazon AWS, Media Temple SSL, React, Salesforce, Freshdesk, Linkedin Widget, Linkedin Login, YouTube, Google Dynamic Remarketing, Facebook Widget, Facebook Login (Connect), Vimeo, Adobe Media Optimizer, Hubspot, Google Analytics, DoubleClick Conversion, Bootstrap Framework, Google AdSense, DoubleClick, Cedexis Radar, Mobile Friendly, Google Tag Manager, Linkedin Marketing Solutions, , SAP, Android, AI",7970320.0,Series B,4970320.0,2013-11-01,17500000.0,,6730c5574f16d00001385555,"7373, 7371","At Aujas Cybersecurity, we specialize in building and transforming cybersecurity postures to help businesses effectively mitigate risks. As a pure-play cybersecurity services company, we bring deep expertise in Identity and Access Management, Risk Advisory, Security Verification, Managed Detection and Response, and Security Engineering services.
 
Our unique products and tailored services empower organizations to enhance their security resilience, minimizing the frequency of attacks, threats, and risks. With a focus on enabling change, fostering innovation, and accelerating growth, we partner with businesses to create robust security frameworks that support their strategic objectives.
 
Join us in strengthening your cybersecurity posture and safeguarding your future.",2008.0,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/672f5dd5a5ddc30001967b3d/picture
Gigamon,Gigamon,Cold,,1300,information technology & services,vasily.souzdenkov@gmail.com,http://www.gigamon.com,http://www.linkedin.com/company/gigamon,https://www.facebook.com/gigamon/,https://www.twitter.com/gigamon,3300 Olcott Street,Santa Clara,California,United States,95054,"3300 Olcott Street, Santa Clara, California, United States, 95054","technology, networking, web hosting, network monitoring, network security, network visibility solutions, cloud security, cloud visibility, zero trust, deep oberservability, deep observability solutions, hybrid cloud security solutions, public cloud security solutions",'+1 408-831-4000,"We offer a deep observability pipeline that efficiently delivers network-derived intelligence to your cloud, security, and observability tools.","Salesforce, Cloudflare DNS, Outlook, Marketo, Microsoft Office 365, CloudFlare Hosting, DemandBase, Adobe CQ, Jobvite, Amazon SES, Zapier, Drift, Salesforce Live Agent, Adobe Marketing Cloud, Omniture (Adobe), Salesforce Service Cloud, Vimeo, Stripe, Google Tag Manager, Apache, Cvent, reCAPTCHA, Adobe Media Optimizer, YouTube, WordPress.org, Linkedin Marketing Solutions, Open AdStream (Appnexus), Mobile Friendly, DoubleClick Floodlight, Hotjar, JQuery 2.1.1, Google Font API, Cedexis Radar, Google Analytics, The Trade Desk, Wistia, AI",151050000.0,Private Equity,,2023-12-01,325000000.0,,6730c5574f16d00001385560,"7370, 7371","Gigamon offers a deep observability pipeline that harnesses actionable network-level intelligence to amplify the power of observability tools. This powerful combination helps enable IT organizations to assure security and compliance governance, speed root-cause analysis of performance bottlenecks, and lower operational overhead associated with managing hybrid and multi-cloud IT infrastructure. The result: modern enterprises realize the full transformational promise of the cloud. Gigamon serves more than 4,000 customers worldwide, including over 80 percent of Fortune 100 enterprises, 9 of the 10 largest mobile network providers, and hundreds of governments and educational organizations worldwide.",2004.0,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/673046475a84f000012c74ca/picture
Auxis,Auxis,Cold,,1100,outsourcing/offshoring,vasily.souzdenkov@gmail.com,http://www.auxis.com,http://www.linkedin.com/company/auxis,https://www.facebook.com/AuxisConsulting/,https://twitter.com/Auxis,8151 Peters Rd,Fort Lauderdale,Florida,United States,33324-4005,"8151 Peters Rd, Fort Lauderdale, Florida, United States, 33324-4005","it outsourcing, performance improvement, m, a, supply chain, informationtechnology, shared services, finance, accounting, business process outsourcing, cloud strategy, cloud services, robotics process automation, analytics, nearshore outsourcing, growth strategy",'+1 954-236-4000,Auxis is a leading management consulting and outsourcing firm focused on helping organizations achieve Peak Performance in their Back-Office Operations.,"Outlook, Microsoft Office 365, AWS SDK for JavaScript, React, Hubspot, Linkedin Login, Shutterstock, iCIMS, reCAPTCHA, ON24, Hotjar, Linkedin Marketing Solutions, Google Dynamic Remarketing, Bootstrap Framework, Facebook Login (Connect), YouTube, DoubleClick, Google Analytics, ShareThis, Vimeo, Linkedin Widget, Mobile Friendly, Adobe Media Optimizer, Bing Ads, Google Font API, CrazyEgg, WordPress.org, DoubleClick Conversion, Facebook Widget, Cedexis Radar, The Trade Desk, Google Tag Manager, Facebook Custom Audiences, Gravity Forms",,,,,56000000.0,,6730c5574f16d00001385554,"7380, 8742","Auxis is a management consulting and outsourcing firm focused on helping senior executives achieve Peak Performance in their back office so they can become more scalable, cost-effective, and innovative. Our areas of focus include: Nearshore Outsourcing, Cloud Computing, Shared Services, RPA, Help Desk & Desktop Support and Finance & Accounting.

Auxis is able to deliver these results through a combination of customized solutions including Nearshore Outsourcing from Latin America (F&A, Customer Service, IT), Shared Services, Robotics Process Automation (RPA), and BI. Auxis solutions consistently deliver rapid paybacks, cost savings of 30%+, improved controls, enhanced operational visibility, and greater organizational focus on value-creation activities. 

With a 25+ year track record, Auxis has been recognized as one of the Top 100 Global Outsourcing Providers by IAOP for eight years in a row. Auxis' unique perspective as both advisor and outsourcing operator allows its clients to obtain ""real'​-world""​ perspectives and significant ROI from every engagement.",1997.0,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/672f853fa5ddc300019744a1/picture
GalaxE.Solutions,GalaxE.Solutions,Cold,,1800,information technology & services,vasily.souzdenkov@gmail.com,,http://www.linkedin.com/company/galaxe-solutions,https://www.facebook.com/GalaxE.Solutions/,https://twitter.com/GalaxESolutions,2 Executive Drive,Franklin Township,New Jersey,United States,08873,"2 Executive Drive, Franklin Township, New Jersey, United States, 08873","information technology, business process management, it governance, project management office, technology solutions, transformation, business enablement",'+1 732-868-0400,"IT Outsource It outsource to america business-enabled transformation.Managed It services consulting.Products IT Outsource Benefit plan design,claims processing & adjudication,Consultants for Outsourcing Consultant Companies that Outsource diversity equity and inclusion D&I Compliance Assessment.","Outlook, Microsoft Office 365, Microsoft Azure Hosting, Mimecast, Atlassian Cloud, Salesforce, Marketo, Hubspot, YouTube, WordPress.org, Apache, Mobile Friendly, iCIMS, Vimeo, Google Font API, Google Analytics, Disqus, Google Tag Manager, Remote, AI",,,,,41090000.0,,6730c5574f16d0000138555e,,"GalaxE, now Endava, is a leading global professional services company that specializes in platform-driven solutions and the use of automation to achieve core modernisation and mission-critical change for some of the largest companies in the world.",1990.0,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/672eb737773b410001995fa6/picture
Acxiom,Acxiom,Cold,,3900,marketing & advertising,vasily.souzdenkov@gmail.com,http://www.acxiom.com,http://www.linkedin.com/company/acxiom,http://www.facebook.com/acxiomcorp,https://twitter.com/Acxiom,301 Dave Ward Drive,Conway,Arkansas,United States,72032,"301 Dave Ward Drive, Conway, Arkansas, United States, 72032","analytics, data security, databases, data privacy, big data, enterprise software, information technology, software, marketing services, direct marketing agency, digital agency, marketing technology, data management, customer data platform, identity resolution, analytics & strategy",'+1 888-322-9466,"Acxiom's data and technology transform marketing – giving our clients the power to manage audiences, personalize customer experiences and create profitable customer relationships.","Salesforce, Akamai DNS, Outlook, ServiceNow, Marketo, Microsoft Office 365, DemandBase, Amazon SES, Atlassian Cloud, StatusPage IO, MongoDB, Google Analytics, Google Dynamic Remarketing, Bootstrap Framework, Apache, Linkedin Marketing Solutions, Acxiom, DoubleClick, Vimeo, Google AdSense, WordPress.org, Google Tag Manager, Workday Recruit, Mobile Friendly, Facebook Custom Audiences, Facebook Login (Connect), Facebook Widget, Amadesa, DoubleClick Conversion",,Other,,1983-12-01,1300000000.0,,6730c5629f9387000152c53e,"7371, 7374","Acxiom®, an IPG company, is the global leader in customer intelligence and stands at the forefront of AI-enabled, data-driven marketing. As part of the Interpublic Group of Companies, Inc. (IPG), we specialize in high-performance solutions that boost customer acquisition and retention while fueling growth for the world's biggest brands and agencies. We transform omnichannel marketing strategies and execution using our AI-powered data and identity foundation, cloud-based data management, and martech and analytics services. For over 55 years, our teams across the US, UK, Germany, China, Poland, and Mexico have helped businesses optimize their marketing and advertising investments while prioritizing customer privacy. Discover more at Acxiom.com, where marketing is made better.",1969.0,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/67292b955468410001a30318/picture
